1|Date change request for Paradise is declined.|True|1|2
2|Date change request for Paradise is declined.|True|1|2
3|Zika has cancelled the reservation for Beautiful place.|True|2|1
4|Zika has cancelled the reservation for Beautiful place.|True|2|1
5|Zika has cancelled the reservation for Paradise.|True|2|1
6|Zika has cancelled the reservation for Paradise.|True|2|1
7|Zika has cancelled the reservation for statistika svih 12 meseci.|True|2|1
8|Zika has cancelled the reservation for Paradise.|True|2|1
9|Zika has cancelled the reservation for Paradise.|True|2|1
10|Zika has cancelled the reservation for statistika svih 12 meseci.|True|2|1
11|Zika has cancelled the reservation for barka.|True|2|1
12|Zika has cancelled the reservation for name of rest place.|True|2|1
13|Zika has created forum for Tokyo  Japan.|True|2|1
14|Date change request for Parafdfdise is declined.|True|1|2
15|Date change request for dsad is declined.|True|1|2
16|Date change request for sdg is declined.|True|1|2
17|Date change request for Paradise is declined.|True|1|2
18|Date change request for casc is declined.|True|1|2
19|Date change request for fas is declined.|True|1|2
20|Date change request for Paradise is declined.|True|1|2
21|a has cancelled the reservation for Sima's garden.|False|8|5
